processor_name,gpu_name
AMDA49120C,"	AMDRADEONR4"
AMDA69220,"	AMDRADEONR4"
AMDRYZEN56600U,AMDRADEON660M
AMDRYZEN76800HS,AMDRADEON680M
AMDRYZEN9PRO6950H,AMDRADEON680M
AMDRYZEN73700U,AMDVEGA10
AMDATHLONSILVER3050U,AMDVEGA2
AMDATHLONGOLD3150C,AMDVEGA3
AMD3015CE,AMDVEGA3
AMD3015E,AMDVEGA3
AMD3020E,AMDVEGA3
AMDATHLONGOLD3150U,AMDVEGA3
AMDRYZEN33200U,AMDVEGA3
AMDRYZEN33250C,AMDVEGA3
AMDRYZEN33250U,AMDVEGA3
AMDRYZEN34300U,AMDVEGA5
AMDRYZEN54600H,AMDVEGA6
AMDRYZEN33300U,AMDVEGA6
AMDRYZEN35300U,AMDVEGA6
AMDRYZEN54500U,AMDVEGA6
AMDRYZEN5PRO4650U,AMDVEGA6
AMDRYZEN55500U,AMDVEGA7
AMDRYZEN55600H,AMDVEGA7
AMDRYZEN55600U,AMDVEGA7
AMDRYZEN55625U,AMDVEGA7
AMDRYZEN5PRO5650U,AMDVEGA7
AMDRYZEN5PRO5675U,AMDVEGA7
AMDRYZEN74700U,AMDVEGA7
AMDRYZEN7PRO4750U,AMDVEGA7
AMDRYZEN53450U,AMDVEGA8
AMDRYZEN53500C,AMDVEGA8
AMDRYZEN53500U,AMDVEGA8
AMDRYZEN75700U,AMDVEGA8
AMDRYZEN75800H,AMDVEGA8
AMDRYZEN75800U,AMDVEGA8
AMDRYZEN75825U,AMDVEGA8
AMDRYZEN7PRO5850U,AMDVEGA8
AMDRYZEN7PRO5875U,AMDVEGA8
AMDRYZEN95900HX,AMDVEGA8
MEDIATEKMT8183,ARMMALI-G72MP3
INTELCELERONCOREN3350,INTELHDGRAPHICS500
INTELCELERONN3450,INTELHDGRAPHICS500
INTELPENTIUMN4200,INTELHDGRAPHICS505
INTELCOREI71065G7,INTELIRISPLUSGRAPHICSG7(ICELAKE64EU)
INTELCOREI51245U,INTELIRISXEG780EUS
INTELCOREI511300H,INTELIRISXEG780EUS
INTELCOREI51130G7,INTELIRISXEG780EUS
INTELCOREI51135G7,INTELIRISXEG780EUS
INTELCOREI51145G7,INTELIRISXEG780EUS
INTELCOREI51155G7,INTELIRISXEG780EUS
INTELCOREI51235U,INTELIRISXEG780EUS
INTELCOREI51240P,INTELIRISXEG780EUS
INTELCOREI511320H,INTELIRISXEG796EUS
INTELCOREI711370H,INTELIRISXEG796EUS
INTELCOREI71160G7,INTELIRISXEG796EUS
INTELCOREI71165G7,INTELIRISXEG796EUS
INTELCOREI71185G7,INTELIRISXEG796EUS
INTELCOREI71195G7,INTELIRISXEG796EUS
INTELCOREI71255U,INTELIRISXEG796EUS
INTELCOREI71260P,INTELIRISXEG796EUS
INTELCOREI71265U,INTELIRISXEG796EUS
INTELCOREI71270P,INTELIRISXEG796EUS
INTELCELERONN4500,INTELUHDGRAPHICS(JASPERLAKE16EU)
INTELCELERONN5100,INTELUHDGRAPHICS(JASPERLAKE24EU)
INTELPENTIUMSILVERN6000,INTELUHDGRAPHICS(JASPERLAKE32EU)
INTELCELERONN4000,INTELUHDGRAPHICS600
INTELCELERONN4020,INTELUHDGRAPHICS600
INTELCELERONN4120,INTELUHDGRAPHICS600
INTELPENTIUMSILVERN5030,INTELUHDGRAPHICS605
INTELCELERON,INTELUHDGRAPHICS610
INTELCELERON5205U,INTELUHDGRAPHICS610
INTELPENTIUMGOLD6405U,INTELUHDGRAPHICS610
INTELCOREI58200Y,INTELUHDGRAPHICS615
INTELCOREM38100Y,INTELUHDGRAPHICS615
INTELCOREI310110U,INTELUHDGRAPHICS620
INTELCOREI510210U,INTELUHDGRAPHICS620
INTELCOREI510310U,INTELUHDGRAPHICS620
INTELCOREI58250U,INTELUHDGRAPHICS620
INTELCOREI58265U,INTELUHDGRAPHICS620
INTELCOREI710510U,INTELUHDGRAPHICS620
INTELCOREI78550U,INTELUHDGRAPHICS620
INTELCOREI59300H,INTELUHDGRAPHICS630
INTELCOREI31005G1,INTELUHDGRAPHICSG1(ICELAKE32EU)
INTELCOREI51035G1,INTELUHDGRAPHICSG1(ICELAKE32EU)
INTELCOREI5L16G7,INTELUHDGRAPHICSG7(LAKEFIELDGT264EU)
INTELCELERON6305,INTELUHDGRAPHICSXEG448EUS
INTELCOREI31110G4,INTELUHDGRAPHICSXEG448EUS
INTELCOREI31115G4,INTELUHDGRAPHICSXEG448EUS
INTELCOREI31125G4,INTELUHDGRAPHICSXEG448EUS
INTELCOREI3CORE1115G4,INTELUHDGRAPHICSXEG448EUS
INTELI31115G4,INTELUHDGRAPHICSXEG448EUS
INTELI3CORE1115G4,INTELUHDGRAPHICSXEG448EUS
INTELPENTIUMGOLD7505,INTELUHDGRAPHICSXEG448EUS
MEDIATEKMT8173C,POWERVRGX6250
SNAPDRAGON7CGEN2,QUALCOMMADRENO618
SNAPDRAGON7C2.55GHZ,QUALCOMMADRENO618
SNAPDRAGON8CXGEN3,QUALCOMMADRENO680
INTELPENTIUM4425Y,INTELUHDGRAPHICS615
MICROSOFTSQ1,QUALCOMMADRENO685
INTELPENTIUMGOLD5405U,INTELUHDGRAPHICS610
AMDA49120C,"	AMDRADEONR4(STONEYRIDGE)"
AMDA99425,AMDRADEONR5(STONEYRIDGE)
AMDA108700B,AMDRADEONR6(CARRIZO)
AMDA128830B,AMDRADEONR7(CARRIZO)
INTELCOREI77600U,INTELUHDGRAPHICS620